#src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
spoc,425934411,00142.01,PC,4.60579,-62.847886,14.672,0.018,1325.489793,0.000851,0.853319,2.4e-05,1.139772,0.074358,27850.118196,1655.4967,2 1,2018-10-22 18:35:46.048871+00:00,2019-02-25 16:43:43.659027+00:00
spoc,7624182,00412.01,PC,64.311397,-38.844151,8.768,0.019,1411.815795,0.00066,1.108467,5.2e-05,1.099309,0.139281,859.958482,34.553566,4,2019-01-31 17:54:44.305199+00:00,2019-02-08 20:03:31.361260+00:00
spoc,1129033,00398.01,PC,37.155148,-7.060682,9.502,0.017,1410.984711,8.2e-05,1.360025,7e-06,2.156334,0.007497,16380.624812,42.159786,4,2019-01-31 17:54:44.010882+00:00,2019-02-08 19:51:14.421911+00:00
spoc,257567854,00403.01,PC,52.818043,-23.819696,11.164,0.018,1411.901592,0.000546,3.532822,0.000138,3.44312,0.046901,11283.619423,137.88638,4,2019-01-31 17:54:49.881292+00:00,2019-02-08 19:51:14.417490+00:00
spoc,122613513,00279.01,PC,41.188507,-32.210889,10.475,0.018,1411.359758,0.002557,11.493044,0.001809,2.353926,0.495941,1661.481473,162.14601,4,2019-01-31 17:54:46.381336+00:00,2019-02-08 19:51:14.408631+00:00
spoc,178284730,00418.01,PC,60.385614,-20.451086,10.261,0.019,1412.697264,0.00019,2.23598,3e-05,1.533632,0.01218,19644.670565,274.4483,4,2019-01-31 17:54:49.136890+00:00,2019-02-08 19:51:14.355366+00:00
spoc,259511357,00271.01,PC,70.775334,-50.219614,8.412,0.021,1411.945767,0.001703,2.475732,0.000299,1.056895,0.345095,418.364873,42.9912,4,2019-01-31 17:54:50.041977+00:00,2019-02-08 19:51:14.350977+00:00
spoc,220479565,00269.01,PC,75.846109,-54.177194,12.27,0.018,1411.429201,0.001477,3.697582,0.0004,0.856725,0.398988,4963.044666,498.0945,4,2019-01-31 17:54:49.583466+00:00,2019-02-08 19:51:14.333349+00:00
spoc,250386181,00390.01,PC,30.114395,-4.985569,9.88,0.019,1412.374564,0.000777,1.470258,7.9e-05,1.37737,0.065475,2586.506638,97.61957,4,2019-01-31 17:54:49.812925+00:00,2019-02-08 19:51:14.328917+00:00
spoc,260271203,00207.01,PC,94.218078,-58.229816,13.42,0.019,1414.835781,0.00103,5.649621,0.000499,4.153365,0.074243,47439.1858,753.47375,4,2019-01-31 17:54:50.239143+00:00,2019-02-08 19:51:14.306805+00:00
spoc,178155732,00396.02,PC,42.984364,-30.814529,5.91,0.019,1412.77464,0.002032,3.586159,0.000501,2.718758,0.175932,202.98306,20.501322,4,2019-01-31 17:54:49.000958+00:00,2019-02-08 19:51:14.302386+00:00
spoc,178155732,00396.01,PC,42.984364,-30.814529,5.91,0.019,1415.634283,0.001447,5.97188,0.000771,2.812894,0.287702,316.022226,26.024124,4,2019-01-31 17:54:48.988833+00:00,2019-02-08 19:51:14.297952+00:00
spoc,166833457,00404.01,PC,58.428804,-34.328198,12.315,0.019,1413.166675,0.000463,2.962482,0.000103,1.931425,0.029495,28072.631654,353.9316,4,2019-01-31 17:54:47.890426+00:00,2019-02-08 19:51:14.289066+00:00
